,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
472,0.6705,Tue Dec 12 00:35:59 +0000 2017,0.476,0.0,0.524,73,@New York times
473,0.7824,Tue Dec 12 00:35:54 +0000 2017,0.623,0.0,0.377,74,@New York times
474,0.743,Tue Dec 12 00:35:48 +0000 2017,0.717,0.0,0.283,75,@New York times
475,0.5719,Tue Dec 12 00:35:43 +0000 2017,0.802,0.0,0.198,76,@New York times
476,-0.34,Tue Dec 12 00:35:38 +0000 2017,0.556,0.278,0.167,77,@New York times
477,0.0,Tue Dec 12 00:34:45 +0000 2017,0.0,0.0,0.0,78,@New York times
478,0.0,Tue Dec 12 00:34:39 +0000 2017,0.0,0.0,0.0,79,@New York times
479,0.0,Tue Dec 12 00:34:34 +0000 2017,0.0,0.0,0.0,80,@New York times
480,0.0,Tue Dec 12 00:34:28 +0000 2017,0.0,0.0,0.0,81,@New York times
481,0.0,Tue Dec 12 00:34:23 +0000 2017,0.0,0.0,0.0,82,@New York times
482,0.0,Tue Dec 12 00:34:17 +0000 2017,0.0,0.0,0.0,83,@New York times
483,0.0,Tue Dec 12 00:34:12 +0000 2017,0.0,0.0,0.0,84,@New York times
484,0.7067,Sat Dec 09 18:18:18 +0000 2017,0.755,0.0,0.245,85,@New York times
